Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age_years,total_kids,total_amt_spent,total_num_purchases,tenure_in_days,education_level,living_status,has_kids,family_size
58138.0,58,635,88,546,172,88,88,3,8,10,4,7.0,0,0,0,0,0,0,1,65.0,0,1617.0,25.0,3612,0,0,0,1
46344.0,38,11,1,6,2,1,6,2,1,1,2,5.0,0,0,0,0,0,0,0,68.0,2,27.0,6.0,2766,0,0,1,3
71613.0,26,426,49,127,111,21,42,1,8,2,10,4.0,0,0,0,0,0,0,0,57.0,0,776.0,21.0,3113,0,1,0,2
26646.0,26,11,4,20,10,3,5,2,2,0,4,6.0,0,0,0,0,0,0,0,38.0,1,53.0,8.0,2706,0,1,1,3
58293.0,94,173,43,118,46,27,15,5,5,3,6,5.0,0,0,0,0,0,0,0,41.0,1,422.0,19.0,2962,0,1,1,3
62513.0,16,520,42,98,0,42,14,2,6,4,10,6.0,0,0,0,0,0,0,0,55.0,1,716.0,22.0,3094,0,1,1,3
55635.0,34,235,65,164,50,49,27,4,7,3,7,6.0,0,0,0,0,0,0,0,51.0,1,590.0,21.0,3394,0,0,1,2
33454.0,32,76,10,56,3,1,23,2,4,0,4,8.0,0,0,0,0,0,0,0,37.0,1,169.0,10.0,3129,0,1,1,3
30351.0,19,14,0,24,3,3,2,1,3,0,2,9.0,0,0,0,0,0,0,1,48.0,1,46.0,6.0,3189,0,1,1,3
5648.0,68,28,0,6,1,1,13,1,1,0,0,6.0,1,0,0,0,0,0,0,72.0,2,49.0,2.0,2909,0,1,1,4
51381.5,11,5,5,6,0,2,1,1,1,0,2,7.0,0,0,0,0,0,0,0,39.0,1,19.0,4.0,3027,0,1,1,3
7500.0,59,6,16,11,11,1,16,1,2,0,3,8.0,0,0,0,0,0,0,0,46.0,0,61.0,6.0,3394,1,1,0,2
63033.0,82,194,61,480,225,112,30,1,3,4,8,2.0,0,0,0,0,0,0,0,63.0,0,1102.0,16.0,3027,0,0,0,1
59354.0,53,233,2,53,3,5,14,3,6,1,5,6.0,0,0,0,0,0,0,0,70.0,2,310.0,15.0,3027,0,0,1,3
17323.0,38,3,14,17,6,1,5,1,1,0,3,8.0,0,0,0,0,0,0,0,35.0,0,46.0,5.0,3428,0,1,0,2
82800.0,23,1006,22,115,59,68,45,1,7,6,12,3.0,0,0,1,1,0,0,1,76.0,0,1315.0,26.0,3383,0,0,0,1
41850.0,51,53,5,19,2,13,4,3,3,0,3,8.0,0,0,0,0,0,0,0,42.0,2,96.0,9.0,3353,0,1,1,4
37760.0,20,84,5,38,150,12,28,2,4,1,6,7.0,0,0,0,0,0,0,0,76.0,0,317.0,13.0,3468,0,1,0,2
76995.0,91,1012,80,498,0,16,176,2,11,4,9,5.0,0,0,0,1,0,0,0,73.0,1,1782.0,26.0,3259,0,1,1,3
33812.0,86,4,17,19,30,24,39,2,2,1,3,6.0,0,0,0,0,0,0,0,37.0,1,133.0,8.0,3641,1,0,1,2
37040.0,41,86,2,73,69,38,48,1,4,2,5,8.0,0,0,0,0,0,0,0,40.0,0,316.0,12.0,3491,0,1,0,2
